ZB_2	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_23	ZB_25	ZB_26	ZB_27	ZB_30	ZB_31	ZB_32	ZB_33	ZB_35	ZB_38	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_50	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_63	ZB_64
ZB_14	0	0.654691800076939	0	0.689996413532936	0.654691800076939	0.654691800076939	0.654691800076939	0.654691800076939	0.0503316097122302	0.712104016579493	0.654691800076939	0	0	0.654691800076939	0	0.654691800076939	0.712104016579493	0	0.654691800076939	0.689996413532936	0.674509421068047	0.925361635428981	0.689996413532936	0.654691800076939	0.681900582005534	0.674509421068047	0	0.930684397513076	0.654691800076939	0.689996413532936	0.654691800076939	0.654691800076939	0.654691800076939	0	0.654691800076939	0.654691800076939	0.654691800076939	0.689996413532936	0.654691800076939	0.712104016579493	0.654691800076939	0.674509421068047	0.654691800076939	0	0.654691800076939	0
ZB_15	0	0.654691800076939	0	0.689996413532936	0.654691800076939	0.654691800076939	0.654691800076939	0.654691800076939	0.0503316097122302	0.712104016579493	0.654691800076939	0	0	0.654691800076939	0	0.654691800076939	0.712104016579493	0	0.654691800076939	0.689996413532936	0.674509421068047	0.925361635428981	0.689996413532936	0.654691800076939	0.681900582005534	0.674509421068047	0	0.930684397513076	0.654691800076939	0.689996413532936	0.654691800076939	0.654691800076939	0.654691800076939	0	0.654691800076939	0.654691800076939	0.654691800076939	0.689996413532936	0.654691800076939	0.712104016579493	0.654691800076939	0.674509421068047	0.654691800076939	0	0.654691800076939	0
ZB_16	0.654691800076939	0	0.654691800076939	0.248010310939262	0	0	0	0	0.672071717625899	0.366090830073881	0	0.654691800076939	0.654691800076939	0	0.654691800076939	0	0.366090830073881	0.654691800076939	0	0.248010310939262	0.149892543620005	0.818946350894152	0.248010310939262	0	0.198530169305265	0.149892543620005	0.654691800076939	0.847376140808344	0	0.248010310939262	0	0	0	0.654691800076939	0	0	0	0.248010310939262	0	0.366090830073881	0	0.149892543620005	0	0.654691800076939	0	0.654691800076939
ZB_17	0	0.654691800076939	0	0.689996413532936	0.654691800076939	0.654691800076939	0.654691800076939	0.654691800076939	0.0503316097122302	0.712104016579493	0.654691800076939	0	0	0.654691800076939	0	0.654691800076939	0.712104016579493	0	0.654691800076939	0.689996413532936	0.674509421068047	0.925361635428981	0.689996413532936	0.654691800076939	0.681900582005534	0.674509421068047	0	0.930684397513076	0.654691800076939	0.689996413532936	0.654691800076939	0.654691800076939	0.654691800076939	0	0.654691800076939	0.654691800076939	0.654691800076939	0.689996413532936	0.654691800076939	0.712104016579493	0.654691800076939	0.674509421068047	0.654691800076939	0	0.654691800076939	0
ZB_18	0.654691800076939	0	0.654691800076939	0.248010310939262	0	0	0	0	0.672071717625899	0.366090830073881	0	0.654691800076939	0.654691800076939	0	0.654691800076939	0	0.366090830073881	0.654691800076939	0	0.248010310939262	0.149892543620005	0.818946350894152	0.248010310939262	0	0.198530169305265	0.149892543620005	0.654691800076939	0.847376140808344	0	0.248010310939262	0	0	0	0.654691800076939	0	0	0	0.248010310939262	0	0.366090830073881	0	0.149892543620005	0	0.654691800076939	0	0.654691800076939
ZB_19	0.712104016579493	0.366090830073881	0.712104016579493	0.157024119947849	0.366090830073881	0.366090830073881	0.366090830073881	0.366090830073881	0.66791670778644	0	0.366090830073881	0.712104016579493	0.712104016579493	0.366090830073881	0.712104016579493	0.366090830073881	0	0.712104016579493	0.366090830073881	0.157024119947849	0.254318774445893	0.638309430682312	0.157024119947849	0.366090830073881	0.209066710126032	0.254318774445893	0.712104016579493	0.481285310734463	0.366090830073881	0.157024119947849	0.366090830073881	0.366090830073881	0.366090830073881	0.712104016579493	0.366090830073881	0.366090830073881	0.366090830073881	0.157024119947849	0.366090830073881	0	0.366090830073881	0.254318774445893	0.366090830073881	0.712104016579493	0.366090830073881	0.712104016579493
ZB_20	0	0.654691800076939	0	0.689996413532936	0.654691800076939	0.654691800076939	0.654691800076939	0.654691800076939	0.0503316097122302	0.712104016579493	0.654691800076939	0	0	0.654691800076939	0	0.654691800076939	0.712104016579493	0	0.654691800076939	0.689996413532936	0.674509421068047	0.925361635428981	0.689996413532936	0.654691800076939	0.681900582005534	0.674509421068047	0	0.930684397513076	0.654691800076939	0.689996413532936	0.654691800076939	0.654691800076939	0.654691800076939	0	0.654691800076939	0.654691800076939	0.654691800076939	0.689996413532936	0.654691800076939	0.712104016579493	0.654691800076939	0.674509421068047	0.654691800076939	0	0.654691800076939	0
ZB_23	0.654691800076939	0	0.654691800076939	0.248010310939262	0	0	0	0	0.672071717625899	0.366090830073881	0	0.654691800076939	0.654691800076939	0	0.654691800076939	0	0.366090830073881	0.654691800076939	0	0.248010310939262	0.149892543620005	0.818946350894152	0.248010310939262	0	0.198530169305265	0.149892543620005	0.654691800076939	0.847376140808344	0	0.248010310939262	0	0	0	0.654691800076939	0	0	0	0.248010310939262	0	0.366090830073881	0	0.149892543620005	0	0.654691800076939	0	0.654691800076939
ZB_25	0.689996413532936	0.248010310939262	0.689996413532936	0	0.248010310939262	0.248010310939262	0.248010310939262	0.248010310939262	0.642415950480188	0.157024119947849	0.248010310939262	0.689996413532936	0.689996413532936	0.248010310939262	0.689996413532936	0.248010310939262	0.157024119947849	0.689996413532936	0.248010310939262	0	0.115418076365394	0.57093603995489	0	0.248010310939262	0.366090830073881	0.115418076365394	0.689996413532936	0.638309430682312	0.248010310939262	0	0.248010310939262	0.248010310939262	0.248010310939262	0.689996413532936	0.248010310939262	0.248010310939262	0.248010310939262	0	0.248010310939262	0.157024119947849	0.248010310939262	0.115418076365394	0.248010310939262	0.689996413532936	0.248010310939262	0.689996413532936
ZB_26	0.674509421068047	0.149892543620005	0.674509421068047	0.115418076365394	0.149892543620005	0.149892543620005	0.149892543620005	0.149892543620005	0.689996413532936	0.254318774445893	0.149892543620005	0.674509421068047	0.674509421068047	0.149892543620005	0.674509421068047	0.149892543620005	0.254318774445893	0.674509421068047	0.149892543620005	0.115418076365394	0	0.686354116320283	0.115418076365394	0.149892543620005	0.297767346693146	0	0.674509421068047	0.735604085180356	0.149892543620005	0.115418076365394	0.149892543620005	0.149892543620005	0.149892543620005	0.674509421068047	0.149892543620005	0.149892543620005	0.149892543620005	0.115418076365394	0.149892543620005	0.254318774445893	0.149892543620005	0	0.149892543620005	0.674509421068047	0.149892543620005	0.674509421068047
ZB_27	0.925361635428981	0.818946350894152	0.925361635428981	0.57093603995489	0.818946350894152	0.818946350894152	0.818946350894152	0.818946350894152	0.877781172376234	0.638309430682312	0.818946350894152	0.925361635428981	0.925361635428981	0.818946350894152	0.925361635428981	0.818946350894152	0.638309430682312	0.925361635428981	0.818946350894152	0.57093603995489	0.686354116320283	0	0.57093603995489	0.818946350894152	0.847376140808344	0.686354116320283	0.925361635428981	0.302717704351469	0.818946350894152	0.57093603995489	0.818946350894152	0.818946350894152	0.818946350894152	0.925361635428981	0.818946350894152	0.818946350894152	0.818946350894152	0.57093603995489	0.818946350894152	0.638309430682312	0.818946350894152	0.686354116320283	0.818946350894152	0.925361635428981	0.818946350894152	0.925361635428981
ZB_30	0.689996413532936	0.248010310939262	0.689996413532936	0	0.248010310939262	0.248010310939262	0.248010310939262	0.248010310939262	0.642415950480188	0.157024119947849	0.248010310939262	0.689996413532936	0.689996413532936	0.248010310939262	0.689996413532936	0.248010310939262	0.157024119947849	0.689996413532936	0.248010310939262	0	0.115418076365394	0.57093603995489	0	0.248010310939262	0.366090830073881	0.115418076365394	0.689996413532936	0.638309430682312	0.248010310939262	0	0.248010310939262	0.248010310939262	0.248010310939262	0.689996413532936	0.248010310939262	0.248010310939262	0.248010310939262	0	0.248010310939262	0.157024119947849	0.248010310939262	0.115418076365394	0.248010310939262	0.689996413532936	0.248010310939262	0.689996413532936
ZB_31	0.654691800076939	0	0.654691800076939	0.248010310939262	0	0	0	0	0.672071717625899	0.366090830073881	0	0.654691800076939	0.654691800076939	0	0.654691800076939	0	0.366090830073881	0.654691800076939	0	0.248010310939262	0.149892543620005	0.818946350894152	0.248010310939262	0	0.198530169305265	0.149892543620005	0.654691800076939	0.847376140808344	0	0.248010310939262	0	0	0	0.654691800076939	0	0	0	0.248010310939262	0	0.366090830073881	0	0.149892543620005	0	0.654691800076939	0	0.654691800076939
ZB_32	0.681900582005534	0.198530169305265	0.681900582005534	0.366090830073881	0.198530169305265	0.198530169305265	0.198530169305265	0.198530169305265	0.696708209333455	0.209066710126032	0.198530169305265	0.681900582005534	0.681900582005534	0.198530169305265	0.681900582005534	0.198530169305265	0.209066710126032	0.681900582005534	0.198530169305265	0.366090830073881	0.297767346693146	0.847376140808344	0.366090830073881	0.198530169305265	0	0.297767346693146	0.681900582005534	0.690352020860495	0.198530169305265	0.366090830073881	0.198530169305265	0.198530169305265	0.198530169305265	0.681900582005534	0.198530169305265	0.198530169305265	0.198530169305265	0.366090830073881	0.198530169305265	0.209066710126032	0.198530169305265	0.297767346693146	0.198530169305265	0.681900582005534	0.198530169305265	0.681900582005534
ZB_33	0.674509421068047	0.149892543620005	0.674509421068047	0.115418076365394	0.149892543620005	0.149892543620005	0.149892543620005	0.149892543620005	0.689996413532936	0.254318774445893	0.149892543620005	0.674509421068047	0.674509421068047	0.149892543620005	0.674509421068047	0.149892543620005	0.254318774445893	0.674509421068047	0.149892543620005	0.115418076365394	0	0.686354116320283	0.115418076365394	0.149892543620005	0.297767346693146	0	0.674509421068047	0.735604085180356	0.149892543620005	0.115418076365394	0.149892543620005	0.149892543620005	0.149892543620005	0.674509421068047	0.149892543620005	0.149892543620005	0.149892543620005	0.115418076365394	0.149892543620005	0.254318774445893	0.149892543620005	0	0.149892543620005	0.674509421068047	0.149892543620005	0.674509421068047
ZB_35	0	0.654691800076939	0	0.689996413532936	0.654691800076939	0.654691800076939	0.654691800076939	0.654691800076939	0.0503316097122302	0.712104016579493	0.654691800076939	0	0	0.654691800076939	0	0.654691800076939	0.712104016579493	0	0.654691800076939	0.689996413532936	0.674509421068047	0.925361635428981	0.689996413532936	0.654691800076939	0.681900582005534	0.674509421068047	0	0.930684397513076	0.654691800076939	0.689996413532936	0.654691800076939	0.654691800076939	0.654691800076939	0	0.654691800076939	0.654691800076939	0.654691800076939	0.689996413532936	0.654691800076939	0.712104016579493	0.654691800076939	0.674509421068047	0.654691800076939	0	0.654691800076939	0
ZB_38	0.930684397513076	0.847376140808344	0.930684397513076	0.638309430682312	0.847376140808344	0.847376140808344	0.847376140808344	0.847376140808344	0.886497088720024	0.481285310734463	0.847376140808344	0.930684397513076	0.930684397513076	0.847376140808344	0.930684397513076	0.847376140808344	0.481285310734463	0.930684397513076	0.847376140808344	0.638309430682312	0.735604085180356	0.302717704351469	0.638309430682312	0.847376140808344	0.690352020860495	0.735604085180356	0.930684397513076	0	0.847376140808344	0.638309430682312	0.847376140808344	0.847376140808344	0.847376140808344	0.930684397513076	0.847376140808344	0.847376140808344	0.847376140808344	0.638309430682312	0.847376140808344	0.481285310734463	0.847376140808344	0.735604085180356	0.847376140808344	0.930684397513076	0.847376140808344	0.930684397513076
ZB_40	0.654691800076939	0	0.654691800076939	0.248010310939262	0	0	0	0	0.672071717625899	0.366090830073881	0	0.654691800076939	0.654691800076939	0	0.654691800076939	0	0.366090830073881	0.654691800076939	0	0.248010310939262	0.149892543620005	0.818946350894152	0.248010310939262	0	0.198530169305265	0.149892543620005	0.654691800076939	0.847376140808344	0	0.248010310939262	0	0	0	0.654691800076939	0	0	0	0.248010310939262	0	0.366090830073881	0	0.149892543620005	0	0.654691800076939	0	0.654691800076939
ZB_41	0.689996413532936	0.248010310939262	0.689996413532936	0	0.248010310939262	0.248010310939262	0.248010310939262	0.248010310939262	0.642415950480188	0.157024119947849	0.248010310939262	0.689996413532936	0.689996413532936	0.248010310939262	0.689996413532936	0.248010310939262	0.157024119947849	0.689996413532936	0.248010310939262	0	0.115418076365394	0.57093603995489	0	0.248010310939262	0.366090830073881	0.115418076365394	0.689996413532936	0.638309430682312	0.248010310939262	0	0.248010310939262	0.248010310939262	0.248010310939262	0.689996413532936	0.248010310939262	0.248010310939262	0.248010310939262	0	0.248010310939262	0.157024119947849	0.248010310939262	0.115418076365394	0.248010310939262	0.689996413532936	0.248010310939262	0.689996413532936
ZB_42	0.654691800076939	0	0.654691800076939	0.248010310939262	0	0	0	0	0.672071717625899	0.366090830073881	0	0.654691800076939	0.654691800076939	0	0.654691800076939	0	0.366090830073881	0.654691800076939	0	0.248010310939262	0.149892543620005	0.818946350894152	0.248010310939262	0	0.198530169305265	0.149892543620005	0.654691800076939	0.847376140808344	0	0.248010310939262	0	0	0	0.654691800076939	0	0	0	0.248010310939262	0	0.366090830073881	0	0.149892543620005	0	0.654691800076939	0	0.654691800076939
ZB_43	0.654691800076939	0	0.654691800076939	0.248010310939262	0	0	0	0	0.672071717625899	0.366090830073881	0	0.654691800076939	0.654691800076939	0	0.654691800076939	0	0.366090830073881	0.654691800076939	0	0.248010310939262	0.149892543620005	0.818946350894152	0.248010310939262	0	0.198530169305265	0.149892543620005	0.654691800076939	0.847376140808344	0	0.248010310939262	0	0	0	0.654691800076939	0	0	0	0.248010310939262	0	0.366090830073881	0	0.149892543620005	0	0.654691800076939	0	0.654691800076939
ZB_44	0.654691800076939	0	0.654691800076939	0.248010310939262	0	0	0	0	0.672071717625899	0.366090830073881	0	0.654691800076939	0.654691800076939	0	0.654691800076939	0	0.366090830073881	0.654691800076939	0	0.248010310939262	0.149892543620005	0.818946350894152	0.248010310939262	0	0.198530169305265	0.149892543620005	0.654691800076939	0.847376140808344	0	0.248010310939262	0	0	0	0.654691800076939	0	0	0	0.248010310939262	0	0.366090830073881	0	0.149892543620005	0	0.654691800076939	0	0.654691800076939
ZB_45	0	0.654691800076939	0	0.689996413532936	0.654691800076939	0.654691800076939	0.654691800076939	0.654691800076939	0.0503316097122302	0.712104016579493	0.654691800076939	0	0	0.654691800076939	0	0.654691800076939	0.712104016579493	0	0.654691800076939	0.689996413532936	0.674509421068047	0.925361635428981	0.689996413532936	0.654691800076939	0.681900582005534	0.674509421068047	0	0.930684397513076	0.654691800076939	0.689996413532936	0.654691800076939	0.654691800076939	0.654691800076939	0	0.654691800076939	0.654691800076939	0.654691800076939	0.689996413532936	0.654691800076939	0.712104016579493	0.654691800076939	0.674509421068047	0.654691800076939	0	0.654691800076939	0
ZB_46	0.654691800076939	0	0.654691800076939	0.248010310939262	0	0	0	0	0.672071717625899	0.366090830073881	0	0.654691800076939	0.654691800076939	0	0.654691800076939	0	0.366090830073881	0.654691800076939	0	0.248010310939262	0.149892543620005	0.818946350894152	0.248010310939262	0	0.198530169305265	0.149892543620005	0.654691800076939	0.847376140808344	0	0.248010310939262	0	0	0	0.654691800076939	0	0	0	0.248010310939262	0	0.366090830073881	0	0.149892543620005	0	0.654691800076939	0	0.654691800076939
ZB_50	0.654691800076939	0	0.654691800076939	0.248010310939262	0	0	0	0	0.672071717625899	0.366090830073881	0	0.654691800076939	0.654691800076939	0	0.654691800076939	0	0.366090830073881	0.654691800076939	0	0.248010310939262	0.149892543620005	0.818946350894152	0.248010310939262	0	0.198530169305265	0.149892543620005	0.654691800076939	0.847376140808344	0	0.248010310939262	0	0	0	0.654691800076939	0	0	0	0.248010310939262	0	0.366090830073881	0	0.149892543620005	0	0.654691800076939	0	0.654691800076939
ZB_54	0.654691800076939	0	0.654691800076939	0.248010310939262	0	0	0	0	0.672071717625899	0.366090830073881	0	0.654691800076939	0.654691800076939	0	0.654691800076939	0	0.366090830073881	0.654691800076939	0	0.248010310939262	0.149892543620005	0.818946350894152	0.248010310939262	0	0.198530169305265	0.149892543620005	0.654691800076939	0.847376140808344	0	0.248010310939262	0	0	0	0.654691800076939	0	0	0	0.248010310939262	0	0.366090830073881	0	0.149892543620005	0	0.654691800076939	0	0.654691800076939
ZB_55	0.689996413532936	0.248010310939262	0.689996413532936	0	0.248010310939262	0.248010310939262	0.248010310939262	0.248010310939262	0.642415950480188	0.157024119947849	0.248010310939262	0.689996413532936	0.689996413532936	0.248010310939262	0.689996413532936	0.248010310939262	0.157024119947849	0.689996413532936	0.248010310939262	0	0.115418076365394	0.57093603995489	0	0.248010310939262	0.366090830073881	0.115418076365394	0.689996413532936	0.638309430682312	0.248010310939262	0	0.248010310939262	0.248010310939262	0.248010310939262	0.689996413532936	0.248010310939262	0.248010310939262	0.248010310939262	0	0.248010310939262	0.157024119947849	0.248010310939262	0.115418076365394	0.248010310939262	0.689996413532936	0.248010310939262	0.689996413532936
ZB_56	0.654691800076939	0	0.654691800076939	0.248010310939262	0	0	0	0	0.672071717625899	0.366090830073881	0	0.654691800076939	0.654691800076939	0	0.654691800076939	0	0.366090830073881	0.654691800076939	0	0.248010310939262	0.149892543620005	0.818946350894152	0.248010310939262	0	0.198530169305265	0.149892543620005	0.654691800076939	0.847376140808344	0	0.248010310939262	0	0	0	0.654691800076939	0	0	0	0.248010310939262	0	0.366090830073881	0	0.149892543620005	0	0.654691800076939	0	0.654691800076939
ZB_57	0.712104016579493	0.366090830073881	0.712104016579493	0.157024119947849	0.366090830073881	0.366090830073881	0.366090830073881	0.366090830073881	0.66791670778644	0	0.366090830073881	0.712104016579493	0.712104016579493	0.366090830073881	0.712104016579493	0.366090830073881	0	0.712104016579493	0.366090830073881	0.157024119947849	0.254318774445893	0.638309430682312	0.157024119947849	0.366090830073881	0.209066710126032	0.254318774445893	0.712104016579493	0.481285310734463	0.366090830073881	0.157024119947849	0.366090830073881	0.366090830073881	0.366090830073881	0.712104016579493	0.366090830073881	0.366090830073881	0.366090830073881	0.157024119947849	0.366090830073881	0	0.366090830073881	0.254318774445893	0.366090830073881	0.712104016579493	0.366090830073881	0.712104016579493
ZB_58	0.654691800076939	0	0.654691800076939	0.248010310939262	0	0	0	0	0.672071717625899	0.366090830073881	0	0.654691800076939	0.654691800076939	0	0.654691800076939	0	0.366090830073881	0.654691800076939	0	0.248010310939262	0.149892543620005	0.818946350894152	0.248010310939262	0	0.198530169305265	0.149892543620005	0.654691800076939	0.847376140808344	0	0.248010310939262	0	0	0	0.654691800076939	0	0	0	0.248010310939262	0	0.366090830073881	0	0.149892543620005	0	0.654691800076939	0	0.654691800076939
ZB_59	0.674509421068047	0.149892543620005	0.674509421068047	0.115418076365394	0.149892543620005	0.149892543620005	0.149892543620005	0.149892543620005	0.689996413532936	0.254318774445893	0.149892543620005	0.674509421068047	0.674509421068047	0.149892543620005	0.674509421068047	0.149892543620005	0.254318774445893	0.674509421068047	0.149892543620005	0.115418076365394	0	0.686354116320283	0.115418076365394	0.149892543620005	0.297767346693146	0	0.674509421068047	0.735604085180356	0.149892543620005	0.115418076365394	0.149892543620005	0.149892543620005	0.149892543620005	0.674509421068047	0.149892543620005	0.149892543620005	0.149892543620005	0.115418076365394	0.149892543620005	0.254318774445893	0.149892543620005	0	0.149892543620005	0.674509421068047	0.149892543620005	0.674509421068047
ZB_60	0.654691800076939	0	0.654691800076939	0.248010310939262	0	0	0	0	0.672071717625899	0.366090830073881	0	0.654691800076939	0.654691800076939	0	0.654691800076939	0	0.366090830073881	0.654691800076939	0	0.248010310939262	0.149892543620005	0.818946350894152	0.248010310939262	0	0.198530169305265	0.149892543620005	0.654691800076939	0.847376140808344	0	0.248010310939262	0	0	0	0.654691800076939	0	0	0	0.248010310939262	0	0.366090830073881	0	0.149892543620005	0	0.654691800076939	0	0.654691800076939
ZB_61	0	0.654691800076939	0	0.689996413532936	0.654691800076939	0.654691800076939	0.654691800076939	0.654691800076939	0.0503316097122302	0.712104016579493	0.654691800076939	0	0	0.654691800076939	0	0.654691800076939	0.712104016579493	0	0.654691800076939	0.689996413532936	0.674509421068047	0.925361635428981	0.689996413532936	0.654691800076939	0.681900582005534	0.674509421068047	0	0.930684397513076	0.654691800076939	0.689996413532936	0.654691800076939	0.654691800076939	0.654691800076939	0	0.654691800076939	0.654691800076939	0.654691800076939	0.689996413532936	0.654691800076939	0.712104016579493	0.654691800076939	0.674509421068047	0.654691800076939	0	0.654691800076939	0
ZB_63	0.654691800076939	0	0.654691800076939	0.248010310939262	0	0	0	0	0.672071717625899	0.366090830073881	0	0.654691800076939	0.654691800076939	0	0.654691800076939	0	0.366090830073881	0.654691800076939	0	0.248010310939262	0.149892543620005	0.818946350894152	0.248010310939262	0	0.198530169305265	0.149892543620005	0.654691800076939	0.847376140808344	0	0.248010310939262	0	0	0	0.654691800076939	0	0	0	0.248010310939262	0	0.366090830073881	0	0.149892543620005	0	0.654691800076939	0	0.654691800076939
