ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_17	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_18	0.5	1	0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0	0.5	0.5	0	1	0.5	1	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	0	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0	0.5	0.5	1	0.5	1	0.5	0.5	0	0.5	1
ZB_19	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0	0	0.5	1	0.5	0.5	1	0	0.5	0	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0	0.5	0.5	0.5	1	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	1	0.5	0.5	0	0.5	0	0.5	0.5	1	0.5	0
ZB_20	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_21	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0	0	0.5	1	0.5	0.5	1	0	0.5	0	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0	0.5	0.5	0.5	1	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	1	0.5	0.5	0	0.5	0	0.5	0.5	1	0.5	0
ZB_22	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_23	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_24	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_25	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_26	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0	0	0.5	1	0.5	0.5	1	0	0.5	0	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0	0.5	0.5	0.5	1	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	1	0.5	0.5	0	0.5	0	0.5	0.5	1	0.5	0
ZB_27	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0	0	0.5	1	0.5	0.5	1	0	0.5	0	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0	0.5	0.5	0.5	1	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	1	0.5	0.5	0	0.5	0	0.5	0.5	1	0.5	0
ZB_28	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_29	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_30	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_31	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_32	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0	0	0.5	1	0.5	0.5	1	0	0.5	0	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0	0.5	0.5	0.5	1	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	1	0.5	0.5	0	0.5	0	0.5	0.5	1	0.5	0
ZB_33	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_35	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_36	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_37	0.5	1	0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0	0.5	0.5	0	1	0.5	1	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	0	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0	0.5	0.5	1	0.5	1	0.5	0.5	0	0.5	1
ZB_38	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0	0	0.5	1	0.5	0.5	1	0	0.5	0	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0	0.5	0.5	0.5	1	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	1	0.5	0.5	0	0.5	0	0.5	0.5	1	0.5	0
ZB_39	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_40	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_41	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_42	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_43	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_44	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_45	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_46	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_47	0.5	1	0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0	0.5	0.5	0	1	0.5	1	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	0	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0	0.5	0.5	1	0.5	1	0.5	0.5	0	0.5	1
ZB_48	0.5	1	0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0	0.5	0.5	0	1	0.5	1	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	0	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0	0.5	0.5	1	0.5	1	0.5	0.5	0	0.5	1
ZB_49	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_50	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_51	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_52	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_53	0.5	1	0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0	0.5	0.5	0	1	0.5	1	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	0	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0	0.5	0.5	1	0.5	1	0.5	0.5	0	0.5	1
ZB_54	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_56	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_57	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0	0	0.5	1	0.5	0.5	1	0	0.5	0	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0	0.5	0.5	0.5	1	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	1	0.5	0.5	0	0.5	0	0.5	0.5	1	0.5	0
ZB_58	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_59	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0	0	0.5	1	0.5	0.5	1	0	0.5	0	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0	0.5	0.5	0.5	1	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	1	0.5	0.5	0	0.5	0	0.5	0.5	1	0.5	0
ZB_60	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_61	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_62	0.5	1	0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0	0.5	0.5	0	1	0.5	1	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	0	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0	0.5	0.5	1	0.5	1	0.5	0.5	0	0.5	1
ZB_63	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
ZB_64	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0	0	0.5	1	0.5	0.5	1	0	0.5	0	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0	0.5	0.5	0.5	1	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	1	0.5	0.5	0	0.5	0	0.5	0.5	1	0.5	0
