ZB_1	ZB_3	ZB_6	ZB_7	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_15	ZB_16	ZB_18	ZB_19	ZB_21	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_38	ZB_39	ZB_41	ZB_42	ZB_44	ZB_46	ZB_47	ZB_48	ZB_49	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_59	ZB_60
ZB_34	0.5	1	0	1	1	0.5	0	0.5	0	0	1	0.5	0	0.5	1	0.5	0	0.5	0.5	0	1	0	0.5	0	0	0.5	0	1	0.5	1	0.5	0.5	1	1	0.5	0.5	0	0.5	0	0	1
ZB_38	0.5	1	0	1	1	0.5	0	0.5	0	0	1	0.5	0	0.5	1	0.5	0	0.5	0.5	0	1	0	0.5	0	0	0.5	0	1	0.5	1	0.5	0.5	1	1	0.5	0.5	0	0.5	0	0	1
ZB_39	0	0.5	0.5	0.5	0.5	0	0.5	0	0.5	0.5	0.5	0	0.5	0	0.5	0	0.5	0	0	0.5	0.5	0.5	0	0.5	0.5	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0	0.5	0	0.5	0.5	0.5
ZB_41	0.5	1	0	1	1	0.5	0	0.5	0	0	1	0.5	0	0.5	1	0.5	0	0.5	0.5	0	1	0	0.5	0	0	0.5	0	1	0.5	1	0.5	0.5	1	1	0.5	0.5	0	0.5	0	0	1
ZB_42	0.5	0	1	0	0	0.5	1	0.5	1	1	0	0.5	1	0.5	0	0.5	1	0.5	0.5	1	0	1	0.5	1	1	0.5	1	0	0.5	0	0.5	0.5	0	0	0.5	0.5	1	0.5	1	1	0
ZB_44	0	0.5	0.5	0.5	0.5	0	0.5	0	0.5	0.5	0.5	0	0.5	0	0.5	0	0.5	0	0	0.5	0.5	0.5	0	0.5	0.5	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0	0.5	0	0.5	0.5	0.5
ZB_46	0.5	0	1	0	0	0.5	1	0.5	1	1	0	0.5	1	0.5	0	0.5	1	0.5	0.5	1	0	1	0.5	1	1	0.5	1	0	0.5	0	0.5	0.5	0	0	0.5	0.5	1	0.5	1	1	0
ZB_47	0	0.5	0.5	0.5	0.5	0	0.5	0	0.5	0.5	0.5	0	0.5	0	0.5	0	0.5	0	0	0.5	0.5	0.5	0	0.5	0.5	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0	0.5	0	0.5	0.5	0.5
ZB_48	0	0.5	0.5	0.5	0.5	0	0.5	0	0.5	0.5	0.5	0	0.5	0	0.5	0	0.5	0	0	0.5	0.5	0.5	0	0.5	0.5	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0	0.5	0	0.5	0.5	0.5
ZB_49	0.5	0	1	0	0	0.5	1	0.5	1	1	0	0.5	1	0.5	0	0.5	1	0.5	0.5	1	0	1	0.5	1	1	0.5	1	0	0.5	0	0.5	0.5	0	0	0.5	0.5	1	0.5	1	1	0
ZB_52	0.5	0	1	0	0	0.5	1	0.5	1	1	0	0.5	1	0.5	0	0.5	1	0.5	0.5	1	0	1	0.5	1	1	0.5	1	0	0.5	0	0.5	0.5	0	0	0.5	0.5	1	0.5	1	1	0
ZB_53	0	0.5	0.5	0.5	0.5	0	0.5	0	0.5	0.5	0.5	0	0.5	0	0.5	0	0.5	0	0	0.5	0.5	0.5	0	0.5	0.5	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0	0.5	0	0.5	0.5	0.5
ZB_54	0	0.5	0.5	0.5	0.5	0	0.5	0	0.5	0.5	0.5	0	0.5	0	0.5	0	0.5	0	0	0.5	0.5	0.5	0	0.5	0.5	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0	0.5	0	0.5	0.5	0.5
ZB_55	0.5	1	0	1	1	0.5	0	0.5	0	0	1	0.5	0	0.5	1	0.5	0	0.5	0.5	0	1	0	0.5	0	0	0.5	0	1	0.5	1	0.5	0.5	1	1	0.5	0.5	0	0.5	0	0	1
ZB_56	0	0.5	0.5	0.5	0.5	0	0.5	0	0.5	0.5	0.5	0	0.5	0	0.5	0	0.5	0	0	0.5	0.5	0.5	0	0.5	0.5	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0	0.5	0	0.5	0.5	0.5
ZB_57	0.5	1	0	1	1	0.5	0	0.5	0	0	1	0.5	0	0.5	1	0.5	0	0.5	0.5	0	1	0	0.5	0	0	0.5	0	1	0.5	1	0.5	0.5	1	1	0.5	0.5	0	0.5	0	0	1
ZB_59	0.5	1	0	1	1	0.5	0	0.5	0	0	1	0.5	0	0.5	1	0.5	0	0.5	0.5	0	1	0	0.5	0	0	0.5	0	1	0.5	1	0.5	0.5	1	1	0.5	0.5	0	0.5	0	0	1
ZB_60	0.5	0	1	0	0	0.5	1	0.5	1	1	0	0.5	1	0.5	0	0.5	1	0.5	0.5	1	0	1	0.5	1	1	0.5	1	0	0.5	0	0.5	0.5	0	0	0.5	0.5	1	0.5	1	1	0
