ZB_2	ZB_5	ZB_6	ZB_11	ZB_12	ZB_13	ZB_14	ZB_17	ZB_19	ZB_20	ZB_25	ZB_27	ZB_32	ZB_33	ZB_34	ZB_35	ZB_38	ZB_41	ZB_45	ZB_48	ZB_50	ZB_54	ZB_55	ZB_57	ZB_61	ZB_64
ZB_35	0.0474910005638201	0.0474910005638201	1	0	1	1	0.0474910005638201	0.0474910005638201	1	0.0474910005638201	1	1	1	1	1	0	1	0.245525438867704	0.0474910005638201	1	0	1	1	1	0.0113486865883101	0.245525438867704
ZB_38	1	1	0	1	0.41015561547708	0.41015561547708	1	1	0	1	0.41015561547708	0.41015561547708	0.41015561547708	0.41015561547708	0.58984438452292	1	0	0.812179958000145	1	0.41015561547708	1	0.41015561547708	0	0.41015561547708	1	0.812179958000145
ZB_41	0.216034839722996	0.216034839722996	0.812179958000145	0.245525438867704	0.783965160277004	0.783965160277004	0.216034839722996	0.216034839722996	0.812179958000145	0.216034839722996	0.783965160277004	0.783965160277004	0.783965160277004	0.783965160277004	1	0.245525438867704	0.812179958000145	0	0.216034839722996	0.783965160277004	0.245525438867704	0.783965160277004	0.812179958000145	0.783965160277004	0.254514640374684	0
ZB_45	0	0	1	0.0474910005638201	1	1	0	0	1	0	1	1	1	1	1	0.0474910005638201	1	0.216034839722996	0	1	0.0474910005638201	1	1	1	0.0588396871521302	0.216034839722996
ZB_48	1	1	0.41015561547708	1	0	0	1	1	0.41015561547708	1	0	0	0	0	1	1	0.41015561547708	0.783965160277004	1	0	1	0	0.41015561547708	0	1	0.783965160277004
ZB_50	0.0474910005638201	0.0474910005638201	1	0	1	1	0.0474910005638201	0.0474910005638201	1	0.0474910005638201	1	1	1	1	1	0	1	0.245525438867704	0.0474910005638201	1	0	1	1	1	0.0113486865883101	0.245525438867704
ZB_54	1	1	0.41015561547708	1	0	0	1	1	0.41015561547708	1	0	0	0	0	1	1	0.41015561547708	0.783965160277004	1	0	1	0	0.41015561547708	0	1	0.783965160277004
ZB_55	1	1	0	1	0.41015561547708	0.41015561547708	1	1	0	1	0.41015561547708	0.41015561547708	0.41015561547708	0.41015561547708	0.58984438452292	1	0	0.812179958000145	1	0.41015561547708	1	0.41015561547708	0	0.41015561547708	1	0.812179958000145
ZB_57	1	1	0.41015561547708	1	0	0	1	1	0.41015561547708	1	0	0	0	0	1	1	0.41015561547708	0.783965160277004	1	0	1	0	0.41015561547708	0	1	0.783965160277004
ZB_61	0.0588396871521302	0.0588396871521302	1	0.0113486865883101	1	1	0.0588396871521302	0.0588396871521302	1	0.0588396871521302	1	1	1	1	1	0.0113486865883101	1	0.254514640374684	0.0588396871521302	1	0.0113486865883101	1	1	1	0	0.254514640374684
ZB_64	0.216034839722996	0.216034839722996	0.812179958000145	0.245525438867704	0.783965160277004	0.783965160277004	0.216034839722996	0.216034839722996	0.812179958000145	0.216034839722996	0.783965160277004	0.783965160277004	0.783965160277004	0.783965160277004	1	0.245525438867704	0.812179958000145	0	0.216034839722996	0.783965160277004	0.245525438867704	0.783965160277004	0.812179958000145	0.783965160277004	0.254514640374684	0
