ZB_2	ZB_4	ZB_5	ZB_6	ZB_9	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_23	ZB_25	ZB_26	ZB_27	ZB_30	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_40	ZB_41	ZB_45	ZB_48	ZB_50	ZB_54	ZB_55	ZB_57	ZB_59	ZB_61	ZB_62	ZB_64
ZB_17	0.140714075422209	0.859285924577791	0.116866953938388	0.883133046061612	0.883133046061612	0.116866953938388	0.742418970639403	0.742418970639403	0.257581029360597	0.257581029360597	0	0.859285924577791	0.742418970639403	0.257581029360597	0.883133046061612	0.883133046061612	0.742418970639403	0.742418970639403	0.742418970639403	0.742418970639403	0.742418970639403	0.742418970639403	0.742418970639403	0.140714075422209	0.883133046061612	0.883133046061612	0.742418970639403	0.257581029360597	0.742418970639403	0.257581029360597	0.742418970639403	0.140714075422209	0.742418970639403	0.742418970639403	0.742418970639403	0.742418970639403	0.257581029360597	0.859285924577791	0.257581029360597
ZB_18	1	0	0.840664919006561	1	1	0.840664919006561	0.453709476309227	0.453709476309227	1	1	0.859285924577791	0	0.453709476309227	1	1	1	0.453709476309227	0.453709476309227	0.453709476309227	0.453709476309227	0.453709476309227	0.453709476309227	0.453709476309227	1	1	1	0.453709476309227	1	0.453709476309227	1	0.453709476309227	1	0.453709476309227	0.453709476309227	0.453709476309227	0.453709476309227	1	0	1
ZB_19	0.883133046061612	0.453709476309227	0.859285924577791	0.546290523690773	0.546290523690773	0.859285924577791	0	0	1	1	0.742418970639403	0.453709476309227	0	1	0.546290523690773	0.546290523690773	0	0	0	0	0	0	0	0.883133046061612	0.546290523690773	0.546290523690773	0	1	0	1	0	0.883133046061612	0	0	0	0	1	0.453709476309227	1
ZB_20	0.136004734391304	1	0.159335080993439	1	1	0.159335080993439	1	1	0	0	0.257581029360597	1	1	0	1	1	1	1	1	1	1	1	1	0.136004734391304	1	1	1	0	1	0	1	0.136004734391304	1	1	1	1	0	1	0
ZB_21	0.863995265608696	1	1	0	0	1	0.546290523690773	0.546290523690773	1	1	0.883133046061612	1	0.546290523690773	1	0	0	0.546290523690773	0.546290523690773	0.546290523690773	0.546290523690773	0.546290523690773	0.546290523690773	0.546290523690773	0.863995265608696	0	0	0.546290523690773	1	0.546290523690773	1	0.546290523690773	0.863995265608696	0.546290523690773	0.546290523690773	0.546290523690773	0.546290523690773	1	1	1
ZB_23	0.863995265608696	1	1	0	0	1	0.546290523690773	0.546290523690773	1	1	0.883133046061612	1	0.546290523690773	1	0	0	0.546290523690773	0.546290523690773	0.546290523690773	0.546290523690773	0.546290523690773	0.546290523690773	0.546290523690773	0.863995265608696	0	0	0.546290523690773	1	0.546290523690773	1	0.546290523690773	0.863995265608696	0.546290523690773	0.546290523690773	0.546290523690773	0.546290523690773	1	1	1
ZB_25	0.883133046061612	0.453709476309227	0.859285924577791	0.546290523690773	0.546290523690773	0.859285924577791	0	0	1	1	0.742418970639403	0.453709476309227	0	1	0.546290523690773	0.546290523690773	0	0	0	0	0	0	0	0.883133046061612	0.546290523690773	0.546290523690773	0	1	0	1	0	0.883133046061612	0	0	0	0	1	0.453709476309227	1
ZB_26	0.883133046061612	0.453709476309227	0.859285924577791	0.546290523690773	0.546290523690773	0.859285924577791	0	0	1	1	0.742418970639403	0.453709476309227	0	1	0.546290523690773	0.546290523690773	0	0	0	0	0	0	0	0.883133046061612	0.546290523690773	0.546290523690773	0	1	0	1	0	0.883133046061612	0	0	0	0	1	0.453709476309227	1
ZB_27	0.883133046061612	0.453709476309227	0.859285924577791	0.546290523690773	0.546290523690773	0.859285924577791	0	0	1	1	0.742418970639403	0.453709476309227	0	1	0.546290523690773	0.546290523690773	0	0	0	0	0	0	0	0.883133046061612	0.546290523690773	0.546290523690773	0	1	0	1	0	0.883133046061612	0	0	0	0	1	0.453709476309227	1
ZB_30	0.883133046061612	0.453709476309227	0.859285924577791	0.546290523690773	0.546290523690773	0.859285924577791	0	0	1	1	0.742418970639403	0.453709476309227	0	1	0.546290523690773	0.546290523690773	0	0	0	0	0	0	0	0.883133046061612	0.546290523690773	0.546290523690773	0	1	0	1	0	0.883133046061612	0	0	0	0	1	0.453709476309227	1
ZB_32	0.883133046061612	0.453709476309227	0.859285924577791	0.546290523690773	0.546290523690773	0.859285924577791	0	0	1	1	0.742418970639403	0.453709476309227	0	1	0.546290523690773	0.546290523690773	0	0	0	0	0	0	0	0.883133046061612	0.546290523690773	0.546290523690773	0	1	0	1	0	0.883133046061612	0	0	0	0	1	0.453709476309227	1
ZB_33	0.883133046061612	0.453709476309227	0.859285924577791	0.546290523690773	0.546290523690773	0.859285924577791	0	0	1	1	0.742418970639403	0.453709476309227	0	1	0.546290523690773	0.546290523690773	0	0	0	0	0	0	0	0.883133046061612	0.546290523690773	0.546290523690773	0	1	0	1	0	0.883133046061612	0	0	0	0	1	0.453709476309227	1
ZB_34	0.883133046061612	0.453709476309227	0.859285924577791	0.546290523690773	0.546290523690773	0.859285924577791	0	0	1	1	0.742418970639403	0.453709476309227	0	1	0.546290523690773	0.546290523690773	0	0	0	0	0	0	0	0.883133046061612	0.546290523690773	0.546290523690773	0	1	0	1	0	0.883133046061612	0	0	0	0	1	0.453709476309227	1
ZB_35	0	1	0.257581029360597	0.863995265608696	0.863995265608696	0.257581029360597	0.883133046061612	0.883133046061612	0.136004734391304	0.136004734391304	0.140714075422209	1	0.883133046061612	0.136004734391304	0.863995265608696	0.863995265608696	0.883133046061612	0.883133046061612	0.883133046061612	0.883133046061612	0.883133046061612	0.883133046061612	0.883133046061612	0	0.863995265608696	0.863995265608696	0.883133046061612	0.136004734391304	0.883133046061612	0.136004734391304	0.883133046061612	0	0.883133046061612	0.883133046061612	0.883133046061612	0.883133046061612	0.136004734391304	1	0.136004734391304
ZB_36	0.863995265608696	1	1	0	0	1	0.546290523690773	0.546290523690773	1	1	0.883133046061612	1	0.546290523690773	1	0	0	0.546290523690773	0.546290523690773	0.546290523690773	0.546290523690773	0.546290523690773	0.546290523690773	0.546290523690773	0.863995265608696	0	0	0.546290523690773	1	0.546290523690773	1	0.546290523690773	0.863995265608696	0.546290523690773	0.546290523690773	0.546290523690773	0.546290523690773	1	1	1
ZB_37	0.863995265608696	1	1	0	0	1	0.546290523690773	0.546290523690773	1	1	0.883133046061612	1	0.546290523690773	1	0	0	0.546290523690773	0.546290523690773	0.546290523690773	0.546290523690773	0.546290523690773	0.546290523690773	0.546290523690773	0.863995265608696	0	0	0.546290523690773	1	0.546290523690773	1	0.546290523690773	0.863995265608696	0.546290523690773	0.546290523690773	0.546290523690773	0.546290523690773	1	1	1
ZB_38	0.883133046061612	0.453709476309227	0.859285924577791	0.546290523690773	0.546290523690773	0.859285924577791	0	0	1	1	0.742418970639403	0.453709476309227	0	1	0.546290523690773	0.546290523690773	0	0	0	0	0	0	0	0.883133046061612	0.546290523690773	0.546290523690773	0	1	0	1	0	0.883133046061612	0	0	0	0	1	0.453709476309227	1
ZB_40	0.136004734391304	1	0.159335080993439	1	1	0.159335080993439	1	1	0	0	0.257581029360597	1	1	0	1	1	1	1	1	1	1	1	1	0.136004734391304	1	1	1	0	1	0	1	0.136004734391304	1	1	1	1	0	1	0
ZB_41	0.883133046061612	0.453709476309227	0.859285924577791	0.546290523690773	0.546290523690773	0.859285924577791	0	0	1	1	0.742418970639403	0.453709476309227	0	1	0.546290523690773	0.546290523690773	0	0	0	0	0	0	0	0.883133046061612	0.546290523690773	0.546290523690773	0	1	0	1	0	0.883133046061612	0	0	0	0	1	0.453709476309227	1
ZB_45	0.136004734391304	1	0.159335080993439	1	1	0.159335080993439	1	1	0	0	0.257581029360597	1	1	0	1	1	1	1	1	1	1	1	1	0.136004734391304	1	1	1	0	1	0	1	0.136004734391304	1	1	1	1	0	1	0
ZB_48	0.883133046061612	0.453709476309227	0.859285924577791	0.546290523690773	0.546290523690773	0.859285924577791	0	0	1	1	0.742418970639403	0.453709476309227	0	1	0.546290523690773	0.546290523690773	0	0	0	0	0	0	0	0.883133046061612	0.546290523690773	0.546290523690773	0	1	0	1	0	0.883133046061612	0	0	0	0	1	0.453709476309227	1
ZB_50	0	1	0.257581029360597	0.863995265608696	0.863995265608696	0.257581029360597	0.883133046061612	0.883133046061612	0.136004734391304	0.136004734391304	0.140714075422209	1	0.883133046061612	0.136004734391304	0.863995265608696	0.863995265608696	0.883133046061612	0.883133046061612	0.883133046061612	0.883133046061612	0.883133046061612	0.883133046061612	0.883133046061612	0	0.863995265608696	0.863995265608696	0.883133046061612	0.136004734391304	0.883133046061612	0.136004734391304	0.883133046061612	0	0.883133046061612	0.883133046061612	0.883133046061612	0.883133046061612	0.136004734391304	1	0.136004734391304
ZB_54	0.883133046061612	0.453709476309227	0.859285924577791	0.546290523690773	0.546290523690773	0.859285924577791	0	0	1	1	0.742418970639403	0.453709476309227	0	1	0.546290523690773	0.546290523690773	0	0	0	0	0	0	0	0.883133046061612	0.546290523690773	0.546290523690773	0	1	0	1	0	0.883133046061612	0	0	0	0	1	0.453709476309227	1
ZB_55	0.883133046061612	0.453709476309227	0.859285924577791	0.546290523690773	0.546290523690773	0.859285924577791	0	0	1	1	0.742418970639403	0.453709476309227	0	1	0.546290523690773	0.546290523690773	0	0	0	0	0	0	0	0.883133046061612	0.546290523690773	0.546290523690773	0	1	0	1	0	0.883133046061612	0	0	0	0	1	0.453709476309227	1
ZB_57	0.883133046061612	0.453709476309227	0.859285924577791	0.546290523690773	0.546290523690773	0.859285924577791	0	0	1	1	0.742418970639403	0.453709476309227	0	1	0.546290523690773	0.546290523690773	0	0	0	0	0	0	0	0.883133046061612	0.546290523690773	0.546290523690773	0	1	0	1	0	0.883133046061612	0	0	0	0	1	0.453709476309227	1
ZB_59	0.883133046061612	0.453709476309227	0.859285924577791	0.546290523690773	0.546290523690773	0.859285924577791	0	0	1	1	0.742418970639403	0.453709476309227	0	1	0.546290523690773	0.546290523690773	0	0	0	0	0	0	0	0.883133046061612	0.546290523690773	0.546290523690773	0	1	0	1	0	0.883133046061612	0	0	0	0	1	0.453709476309227	1
ZB_61	0.136004734391304	1	0.159335080993439	1	1	0.159335080993439	1	1	0	0	0.257581029360597	1	1	0	1	1	1	1	1	1	1	1	1	0.136004734391304	1	1	1	0	1	0	1	0.136004734391304	1	1	1	1	0	1	0
ZB_62	1	0	0.840664919006561	1	1	0.840664919006561	0.453709476309227	0.453709476309227	1	1	0.859285924577791	0	0.453709476309227	1	1	1	0.453709476309227	0.453709476309227	0.453709476309227	0.453709476309227	0.453709476309227	0.453709476309227	0.453709476309227	1	1	1	0.453709476309227	1	0.453709476309227	1	0.453709476309227	1	0.453709476309227	0.453709476309227	0.453709476309227	0.453709476309227	1	0	1
ZB_64	0.136004734391304	1	0.159335080993439	1	1	0.159335080993439	1	1	0	0	0.257581029360597	1	1	0	1	1	1	1	1	1	1	1	1	0.136004734391304	1	1	1	0	1	0	1	0.136004734391304	1	1	1	1	0	1	0
