ZB_1	ZB_3	ZB_4	ZB_6	ZB_7	ZB_8	ZB_12	ZB_13	ZB_14	ZB_18	ZB_19	ZB_24	ZB_25	ZB_26	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_36	ZB_37	ZB_38	ZB_40	ZB_41	ZB_43	ZB_45	ZB_46	ZB_49	ZB_51	ZB_52	ZB_54	ZB_55	ZB_57	ZB_59
ZB_25	0.0376433901325315	0.504880066170389	0	0.812614037221749	0.504880066170389	0	1	1	0	0	0.726949276243766	0.504880066170389	0	0.985755225893459	0.0376433901325315	0.726949276243766	0.504880066170389	0.504880066170389	0.802335482301423	0.504880066170389	0	0.504880066170389	0.660215053763441	0.726949276243766	0.504880066170389	0.504880066170389	0.504880066170389	0.504880066170389	0.504880066170389	0.504880066170389	0.504880066170389	0.726949276243766	0.504880066170389	0.504880066170389
ZB_26	1	0.989721445079674	0.985755225893459	0.514915309981911	0.989721445079674	0.985755225893459	0.0224033936501624	0.0224033936501624	0.985755225893459	0.985755225893459	0.541205449458703	0.989721445079674	0.985755225893459	0	1	0.541205449458703	0.989721445079674	0.989721445079674	0.503798717316231	0.989721445079674	0.985755225893459	0.989721445079674	1	0.541205449458703	0.989721445079674	0.989721445079674	0.989721445079674	0.989721445079674	0.989721445079674	0.989721445079674	0.989721445079674	0.541205449458703	0.989721445079674	0.989721445079674
ZB_29	0	0.52351805900193	0.0376433901325315	0.81066797763166	0.52351805900193	0.0376433901325315	1	1	0.0376433901325315	0.0376433901325315	0.737227831164092	0.52351805900193	0.0376433901325315	1	0	0.737227831164092	0.52351805900193	0.52351805900193	0.812614037221749	0.52351805900193	0.0376433901325315	0.52351805900193	0.653761869978086	0.737227831164092	0.52351805900193	0.52351805900193	0.52351805900193	0.52351805900193	0.52351805900193	0.52351805900193	0.52351805900193	0.737227831164092	0.52351805900193	0.52351805900193
ZB_30	0.737227831164092	0.448515995620971	0.726949276243766	0.0856647609779832	0.448515995620971	0.726949276243766	0.551484004379029	0.551484004379029	0.726949276243766	0.726949276243766	0	0.448515995620971	0.726949276243766	0.541205449458703	0.737227831164092	0	0.448515995620971	0.448515995620971	0.0753862060576572	0.448515995620971	0.726949276243766	0.448515995620971	0.534180756598954	0	0.448515995620971	0.448515995620971	0.448515995620971	0.448515995620971	0.448515995620971	0.448515995620971	0.448515995620971	0	0.448515995620971	0.448515995620971
ZB_32	0.52351805900193	0	0.504880066170389	0.534180756598954	0	0.504880066170389	1	1	0.504880066170389	0.504880066170389	0.448515995620971	0	0.504880066170389	0.989721445079674	0.52351805900193	0.448515995620971	0	0	0.523902201678628	0	0.504880066170389	0	0.155334987593052	0.448515995620971	0	0	0	0	0	0	0	0.448515995620971	0	0
ZB_33	0.52351805900193	0	0.504880066170389	0.534180756598954	0	0.504880066170389	1	1	0.504880066170389	0.504880066170389	0.448515995620971	0	0.504880066170389	0.989721445079674	0.52351805900193	0.448515995620971	0	0	0.523902201678628	0	0.504880066170389	0	0.155334987593052	0.448515995620971	0	0	0	0	0	0	0	0.448515995620971	0	0
ZB_34	0.812614037221749	0.523902201678628	0.802335482301423	0.01111659266568	0.523902201678628	0.802335482301423	0.514915309981911	0.514915309981911	0.802335482301423	0.802335482301423	0.0753862060576572	0.523902201678628	0.802335482301423	0.503798717316231	0.812614037221749	0.0753862060576572	0.523902201678628	0.523902201678628	0	0.523902201678628	0.802335482301423	0.523902201678628	0.496201282683769	0.0753862060576572	0.523902201678628	0.523902201678628	0.523902201678628	0.523902201678628	0.523902201678628	0.523902201678628	0.523902201678628	0.0753862060576572	0.523902201678628	0.523902201678628
ZB_36	0.52351805900193	0	0.504880066170389	0.534180756598954	0	0.504880066170389	1	1	0.504880066170389	0.504880066170389	0.448515995620971	0	0.504880066170389	0.989721445079674	0.52351805900193	0.448515995620971	0	0	0.523902201678628	0	0.504880066170389	0	0.155334987593052	0.448515995620971	0	0	0	0	0	0	0	0.448515995620971	0	0
ZB_37	0.0376433901325315	0.504880066170389	0	0.812614037221749	0.504880066170389	0	1	1	0	0	0.726949276243766	0.504880066170389	0	0.985755225893459	0.0376433901325315	0.726949276243766	0.504880066170389	0.504880066170389	0.802335482301423	0.504880066170389	0	0.504880066170389	0.660215053763441	0.726949276243766	0.504880066170389	0.504880066170389	0.504880066170389	0.504880066170389	0.504880066170389	0.504880066170389	0.504880066170389	0.726949276243766	0.504880066170389	0.504880066170389
ZB_38	0.52351805900193	0	0.504880066170389	0.534180756598954	0	0.504880066170389	1	1	0.504880066170389	0.504880066170389	0.448515995620971	0	0.504880066170389	0.989721445079674	0.52351805900193	0.448515995620971	0	0	0.523902201678628	0	0.504880066170389	0	0.155334987593052	0.448515995620971	0	0	0	0	0	0	0	0.448515995620971	0	0
ZB_40	0.653761869978086	0.155334987593052	0.660215053763441	0.490537798915755	0.155334987593052	0.660215053763441	1	1	0.660215053763441	0.660215053763441	0.534180756598954	0.155334987593052	0.660215053763441	1	0.653761869978086	0.534180756598954	0.155334987593052	0.155334987593052	0.496201282683769	0.155334987593052	0.660215053763441	0.155334987593052	0	0.534180756598954	0.155334987593052	0.155334987593052	0.155334987593052	0.155334987593052	0.155334987593052	0.155334987593052	0.155334987593052	0.534180756598954	0.155334987593052	0.155334987593052
ZB_41	0.737227831164092	0.448515995620971	0.726949276243766	0.0856647609779832	0.448515995620971	0.726949276243766	0.551484004379029	0.551484004379029	0.726949276243766	0.726949276243766	0	0.448515995620971	0.726949276243766	0.541205449458703	0.737227831164092	0	0.448515995620971	0.448515995620971	0.0753862060576572	0.448515995620971	0.726949276243766	0.448515995620971	0.534180756598954	0	0.448515995620971	0.448515995620971	0.448515995620971	0.448515995620971	0.448515995620971	0.448515995620971	0.448515995620971	0	0.448515995620971	0.448515995620971
ZB_43	0.52351805900193	0	0.504880066170389	0.534180756598954	0	0.504880066170389	1	1	0.504880066170389	0.504880066170389	0.448515995620971	0	0.504880066170389	0.989721445079674	0.52351805900193	0.448515995620971	0	0	0.523902201678628	0	0.504880066170389	0	0.155334987593052	0.448515995620971	0	0	0	0	0	0	0	0.448515995620971	0	0
ZB_45	0.52351805900193	0	0.504880066170389	0.534180756598954	0	0.504880066170389	1	1	0.504880066170389	0.504880066170389	0.448515995620971	0	0.504880066170389	0.989721445079674	0.52351805900193	0.448515995620971	0	0	0.523902201678628	0	0.504880066170389	0	0.155334987593052	0.448515995620971	0	0	0	0	0	0	0	0.448515995620971	0	0
ZB_46	0.52351805900193	0	0.504880066170389	0.534180756598954	0	0.504880066170389	1	1	0.504880066170389	0.504880066170389	0.448515995620971	0	0.504880066170389	0.989721445079674	0.52351805900193	0.448515995620971	0	0	0.523902201678628	0	0.504880066170389	0	0.155334987593052	0.448515995620971	0	0	0	0	0	0	0	0.448515995620971	0	0
ZB_49	0.52351805900193	0	0.504880066170389	0.534180756598954	0	0.504880066170389	1	1	0.504880066170389	0.504880066170389	0.448515995620971	0	0.504880066170389	0.989721445079674	0.52351805900193	0.448515995620971	0	0	0.523902201678628	0	0.504880066170389	0	0.155334987593052	0.448515995620971	0	0	0	0	0	0	0	0.448515995620971	0	0
ZB_51	0.52351805900193	0	0.504880066170389	0.534180756598954	0	0.504880066170389	1	1	0.504880066170389	0.504880066170389	0.448515995620971	0	0.504880066170389	0.989721445079674	0.52351805900193	0.448515995620971	0	0	0.523902201678628	0	0.504880066170389	0	0.155334987593052	0.448515995620971	0	0	0	0	0	0	0	0.448515995620971	0	0
ZB_52	0.52351805900193	0	0.504880066170389	0.534180756598954	0	0.504880066170389	1	1	0.504880066170389	0.504880066170389	0.448515995620971	0	0.504880066170389	0.989721445079674	0.52351805900193	0.448515995620971	0	0	0.523902201678628	0	0.504880066170389	0	0.155334987593052	0.448515995620971	0	0	0	0	0	0	0	0.448515995620971	0	0
ZB_54	0.52351805900193	0	0.504880066170389	0.534180756598954	0	0.504880066170389	1	1	0.504880066170389	0.504880066170389	0.448515995620971	0	0.504880066170389	0.989721445079674	0.52351805900193	0.448515995620971	0	0	0.523902201678628	0	0.504880066170389	0	0.155334987593052	0.448515995620971	0	0	0	0	0	0	0	0.448515995620971	0	0
ZB_55	0.737227831164092	0.448515995620971	0.726949276243766	0.0856647609779832	0.448515995620971	0.726949276243766	0.551484004379029	0.551484004379029	0.726949276243766	0.726949276243766	0	0.448515995620971	0.726949276243766	0.541205449458703	0.737227831164092	0	0.448515995620971	0.448515995620971	0.0753862060576572	0.448515995620971	0.726949276243766	0.448515995620971	0.534180756598954	0	0.448515995620971	0.448515995620971	0.448515995620971	0.448515995620971	0.448515995620971	0.448515995620971	0.448515995620971	0	0.448515995620971	0.448515995620971
ZB_57	0.52351805900193	0	0.504880066170389	0.534180756598954	0	0.504880066170389	1	1	0.504880066170389	0.504880066170389	0.448515995620971	0	0.504880066170389	0.989721445079674	0.52351805900193	0.448515995620971	0	0	0.523902201678628	0	0.504880066170389	0	0.155334987593052	0.448515995620971	0	0	0	0	0	0	0	0.448515995620971	0	0
ZB_59	0.52351805900193	0	0.504880066170389	0.534180756598954	0	0.504880066170389	1	1	0.504880066170389	0.504880066170389	0.448515995620971	0	0.504880066170389	0.989721445079674	0.52351805900193	0.448515995620971	0	0	0.523902201678628	0	0.504880066170389	0	0.155334987593052	0.448515995620971	0	0	0	0	0	0	0	0.448515995620971	0	0
