ZB_2	ZB_5	ZB_6	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_17	ZB_18	ZB_19	ZB_20	ZB_23	ZB_25	ZB_26	ZB_27	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_41	ZB_45	ZB_48	ZB_50	ZB_54	ZB_55	ZB_57	ZB_59	ZB_60	ZB_61	ZB_64
ZB_45	0	0.264424300041509	1	0	1	1	0	0	0.181772144357229	0	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	0.120744570175579	0.264424300041509	1	1	1	0	0.120744570175579	0
ZB_48	1	0.735575699958491	0	1	0	0	1	1	0.836589317515365	1	0	1	1	0	0	0	0.382013368442374	0	0	0	0.617986631557626	1	0.617986631557626	1	0	0	1	0	0.898986382443126	0.735575699958491	0	0	0	1	0.898986382443126	1
ZB_50	0.120744570175579	0.163410682484635	0.898986382443126	0.120744570175579	0.898986382443126	0.898986382443126	0.120744570175579	0.120744570175579	0.264424300041509	0.120744570175579	0.898986382443126	0.120744570175579	0.120744570175579	0.898986382443126	0.898986382443126	0.898986382443126	1	0.898986382443126	0.898986382443126	0.898986382443126	0.879255429824421	0.120744570175579	0.879255429824421	0.120744570175579	0.898986382443126	0.898986382443126	0.120744570175579	0.898986382443126	0	0.163410682484635	0.898986382443126	0.898986382443126	0.898986382443126	0.120744570175579	0	0.120744570175579
ZB_54	0.264424300041509	0	0.735575699958491	0.264424300041509	0.735575699958491	0.735575699958491	0.264424300041509	0.264424300041509	0.101013617556874	0.264424300041509	0.735575699958491	0.264424300041509	0.264424300041509	0.735575699958491	0.735575699958491	0.735575699958491	0.836589317515365	0.735575699958491	0.735575699958491	0.735575699958491	0.898986382443126	0.264424300041509	0.898986382443126	0.264424300041509	0.735575699958491	0.735575699958491	0.264424300041509	0.735575699958491	0.163410682484635	0	0.735575699958491	0.735575699958491	0.735575699958491	0.264424300041509	0.163410682484635	0.264424300041509
ZB_55	1	0.735575699958491	0	1	0	0	1	1	0.836589317515365	1	0	1	1	0	0	0	0.382013368442374	0	0	0	0.617986631557626	1	0.617986631557626	1	0	0	1	0	0.898986382443126	0.735575699958491	0	0	0	1	0.898986382443126	1
ZB_57	1	0.735575699958491	0	1	0	0	1	1	0.836589317515365	1	0	1	1	0	0	0	0.382013368442374	0	0	0	0.617986631557626	1	0.617986631557626	1	0	0	1	0	0.898986382443126	0.735575699958491	0	0	0	1	0.898986382443126	1
ZB_59	1	0.735575699958491	0	1	0	0	1	1	0.836589317515365	1	0	1	1	0	0	0	0.382013368442374	0	0	0	0.617986631557626	1	0.617986631557626	1	0	0	1	0	0.898986382443126	0.735575699958491	0	0	0	1	0.898986382443126	1
ZB_60	0	0.264424300041509	1	0	1	1	0	0	0.181772144357229	0	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	0.120744570175579	0.264424300041509	1	1	1	0	0.120744570175579	0
ZB_61	0.120744570175579	0.163410682484635	0.898986382443126	0.120744570175579	0.898986382443126	0.898986382443126	0.120744570175579	0.120744570175579	0.264424300041509	0.120744570175579	0.898986382443126	0.120744570175579	0.120744570175579	0.898986382443126	0.898986382443126	0.898986382443126	1	0.898986382443126	0.898986382443126	0.898986382443126	0.879255429824421	0.120744570175579	0.879255429824421	0.120744570175579	0.898986382443126	0.898986382443126	0.120744570175579	0.898986382443126	0	0.163410682484635	0.898986382443126	0.898986382443126	0.898986382443126	0.120744570175579	0	0.120744570175579
ZB_64	0	0.264424300041509	1	0	1	1	0	0	0.181772144357229	0	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	0.120744570175579	0.264424300041509	1	1	1	0	0.120744570175579	0
