ZB_2	ZB_4	ZB_5	ZB_8	ZB_9	ZB_11	ZB_14	ZB_16	ZB_17	ZB_18	ZB_20	ZB_21	ZB_22	ZB_27	ZB_29	ZB_31	ZB_35	ZB_36	ZB_37	ZB_39	ZB_40	ZB_42	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_53	ZB_54	ZB_55	ZB_56	ZB_58	ZB_60	ZB_61	ZB_62
ZB_20	0.394352873727963	0.394352873727963	0.777956141608141	0.909072667335531	0.377508519500189	0.394352873727963	0.475766755017039	0.316073457023855	0.938564937523665	0.585781854665329	0	0.475766755017039	0.316073457023855	0.6333775085195	0.90174176448315	0.90174176448315	0.394352873727963	0.571942446043165	0.52747599254694	0.318061340401363	0.585781854665329	0.394352873727963	0	0	0.586985810520281	0.394352873727963	0.473684210526316	0.586985810520281	0.475766755017039	0.938564937523665	0.52747599254694	0.377508519500189	0.777956141608141	0.394352873727963	0.475766755017039
ZB_21	0.682499641679805	0.682499641679805	0.787397178695053	0.872266741835461	0.157846715328467	0.682499641679805	0	0.233494809688581	1	0.607331513454107	0.475766755017039	0	0.233494809688581	0.564302059496568	1	1	0.682499641679805	0.603553581343698	0.633742270427565	0.231260410882843	0.607331513454107	0.682499641679805	0.475766755017039	0.475766755017039	0.606745961299485	0.682499641679805	0.653482164523174	0.606745961299485	0	1	0.633742270427565	0.157846715328467	0.787397178695053	0.682499641679805	0
ZB_22	0.585781854665329	0.585781854665329	0.81111735723025	0.887545644698125	0.0898269896193772	0.585781854665329	0.233494809688581	0	0.910173010380623	0.487715815223172	0.316073457023855	0.233494809688581	0	0.653482164523174	0.856332179930796	0.856332179930796	0.585781854665329	0.574739140985198	0.522171885850336	0.249332686241204	0.487715815223172	0.585781854665329	0.316073457023855	0.316073457023855	0.590820409377997	0.585781854665329	0.448798835234167	0.590820409377997	0.233494809688581	0.910173010380623	0.522171885850336	0.0898269896193772	0.81111735723025	0.585781854665329	0.233494809688581
ZB_27	0.777956141608141	0.777956141608141	0.639771194717016	0.852485699669813	0.623864085341762	0.777956141608141	0.564302059496568	0.653482164523174	1	0.81111735723025	0.6333775085195	0.564302059496568	0.653482164523174	0	1	1	0.777956141608141	0.143520566121185	0.743857676664131	0.462382009994448	0.81111735723025	0.777956141608141	0.6333775085195	0.6333775085195	0.724977809337831	0.777956141608141	0.30341726618705	0.724977809337831	0.564302059496568	1	0.743857676664131	0.623864085341762	0.639771194717016	0.777956141608141	0.564302059496568
ZB_29	0.940490182026659	0.940490182026659	1	1	0.842153284671533	0.940490182026659	1	0.856332179930796	1	0.926401247917184	0.90174176448315	1	0.856332179930796	1	0	0	0.940490182026659	1	0.931351476472339	1	0.926401247917184	0.940490182026659	0.90174176448315	0.90174176448315	1	0.940490182026659	0.813309352517986	1	1	1	0.931351476472339	0.842153284671533	1	0.940490182026659	1
ZB_31	0.940490182026659	0.940490182026659	1	1	0.842153284671533	0.940490182026659	1	0.856332179930796	1	0.926401247917184	0.90174176448315	1	0.856332179930796	1	0	0	0.940490182026659	1	0.931351476472339	1	0.926401247917184	0.940490182026659	0.90174176448315	0.90174176448315	1	0.940490182026659	0.813309352517986	1	1	1	0.931351476472339	0.842153284671533	1	0.940490182026659	1
ZB_35	0	0	0.383603267880178	0.514719793607568	0.622989823706464	0	0.682499641679805	0.585781854665329	0.962792030958865	0.191428980937366	0.394352873727963	0.682499641679805	0.585781854665329	0.777956141608141	0.940490182026659	0.940490182026659	0	0.740748172567006	0.133123118818977	0.586985810520281	0.191428980937366	0	0.394352873727963	0.394352873727963	0.192632936792318	0	0.681238354593665	0.192632936792318	0.682499641679805	0.962792030958865	0.133123118818977	0.622989823706464	0.383603267880178	0	0.682499641679805
ZB_36	0.740748172567006	0.740748172567006	0.660278057979913	0.860883294592342	0.653482164523174	0.740748172567006	0.603553581343698	0.574739140985198	0.856479433878815	0.768195496180682	0.571942446043165	0.603553581343698	0.574739140985198	0.143520566121185	1	1	0.740748172567006	0	0.700935815614563	0.372293170460855	0.768195496180682	0.740748172567006	0.571942446043165	0.571942446043165	0.678892242144505	0.740748172567006	0.186690647482014	0.678892242144505	0.603553581343698	0.856479433878815	0.700935815614563	0.653482164523174	0.660278057979913	0.740748172567006	0.603553581343698
ZB_37	0.133123118818977	0.133123118818977	0.288945471379915	0.440197083429781	0.565093746899904	0.133123118818977	0.633742270427565	0.522171885850336	0.957078138950432	0.0672596805661188	0.52747599254694	0.633742270427565	0.522171885850336	0.743857676664131	0.931351476472339	0.931351476472339	0.133123118818977	0.700935815614563	0	0.523560728811878	0.0672596805661188	0.133123118818977	0.52747599254694	0.52747599254694	0.0686485235276611	0.133123118818977	0.632287292086902	0.0686485235276611	0.633742270427565	0.957078138950432	0	0.565093746899904	0.288945471379915	0.133123118818977	0.633742270427565
ZB_39	0.586985810520281	0.586985810520281	0.724977809337831	0.887377951358068	0.32807570977918	0.586985810520281	0.231260410882843	0.249332686241204	0.909911160466408	0.590820409377997	0.318061340401363	0.231260410882843	0.249332686241204	0.462382009994448	1	1	0.586985810520281	0.372293170460855	0.523560728811878	0	0.590820409377997	0.586985810520281	0.318061340401363	0.318061340401363	0.488443103142198	0.586985810520281	0.451346760495025	0.488443103142198	0.231260410882843	0.909911160466408	0.523560728811878	0.32807570977918	0.724977809337831	0.586985810520281	0.231260410882843
ZB_40	0.191428980937366	0.191428980937366	0.356205151946034	0.399829829474953	0.533732761371291	0.191428980937366	0.607331513454107	0.487715815223172	0.953983053851881	0	0.585781854665329	0.607331513454107	0.487715815223172	0.81111735723025	0.926401247917184	0.926401247917184	0.191428980937366	0.768195496180682	0.0672596805661188	0.590820409377997	0	0.191428980937366	0.585781854665329	0.585781854665329	0.13590820409378	0.191428980937366	0.699546972653021	0.13590820409378	0.607331513454107	0.953983053851881	0.0672596805661188	0.533732761371291	0.356205151946034	0.191428980937366	0.607331513454107
ZB_42	0	0	0.383603267880178	0.514719793607568	0.622989823706464	0	0.682499641679805	0.585781854665329	0.962792030958865	0.191428980937366	0.394352873727963	0.682499641679805	0.585781854665329	0.777956141608141	0.940490182026659	0.940490182026659	0	0.740748172567006	0.133123118818977	0.586985810520281	0.191428980937366	0	0.394352873727963	0.394352873727963	0.192632936792318	0	0.681238354593665	0.192632936792318	0.682499641679805	0.962792030958865	0.133123118818977	0.622989823706464	0.383603267880178	0	0.682499641679805
ZB_47	0.394352873727963	0.394352873727963	0.777956141608141	0.909072667335531	0.377508519500189	0.394352873727963	0.475766755017039	0.316073457023855	0.938564937523665	0.585781854665329	0	0.475766755017039	0.316073457023855	0.6333775085195	0.90174176448315	0.90174176448315	0.394352873727963	0.571942446043165	0.52747599254694	0.318061340401363	0.585781854665329	0.394352873727963	0	0	0.586985810520281	0.394352873727963	0.473684210526316	0.586985810520281	0.475766755017039	0.938564937523665	0.52747599254694	0.377508519500189	0.777956141608141	0.394352873727963	0.475766755017039
ZB_48	0.394352873727963	0.394352873727963	0.777956141608141	0.909072667335531	0.377508519500189	0.394352873727963	0.475766755017039	0.316073457023855	0.938564937523665	0.585781854665329	0	0.475766755017039	0.316073457023855	0.6333775085195	0.90174176448315	0.90174176448315	0.394352873727963	0.571942446043165	0.52747599254694	0.318061340401363	0.585781854665329	0.394352873727963	0	0	0.586985810520281	0.394352873727963	0.473684210526316	0.586985810520281	0.475766755017039	0.938564937523665	0.52747599254694	0.377508519500189	0.777956141608141	0.394352873727963	0.475766755017039
ZB_49	0.192632936792318	0.192632936792318	0.236534706195633	0.398934848215871	0.633742270427565	0.192632936792318	0.606745961299485	0.590820409377997	0.953914432806675	0.13590820409378	0.586985810520281	0.606745961299485	0.590820409377997	0.724977809337831	1	1	0.192632936792318	0.678892242144505	0.0686485235276611	0.488443103142198	0.13590820409378	0.192632936792318	0.586985810520281	0.586985810520281	0	0.192632936792318	0.700935815614563	0	0.606745961299485	0.953914432806675	0.0686485235276611	0.633742270427565	0.236534706195633	0.192632936792318	0.606745961299485
ZB_50	0	0	0.383603267880178	0.514719793607568	0.622989823706464	0	0.682499641679805	0.585781854665329	0.962792030958865	0.191428980937366	0.394352873727963	0.682499641679805	0.585781854665329	0.777956141608141	0.940490182026659	0.940490182026659	0	0.740748172567006	0.133123118818977	0.586985810520281	0.191428980937366	0	0.394352873727963	0.394352873727963	0.192632936792318	0	0.681238354593665	0.192632936792318	0.682499641679805	0.962792030958865	0.133123118818977	0.622989823706464	0.383603267880178	0	0.682499641679805
ZB_51	0.681238354593665	0.681238354593665	0.68862805000603	0.87249266390642	0.527541858772143	0.681238354593665	0.653482164523174	0.448798835234167	0.883273381294964	0.699546972653021	0.473684210526316	0.653482164523174	0.448798835234167	0.30341726618705	0.813309352517986	0.813309352517986	0.681238354593665	0.186690647482014	0.632287292086902	0.451346760495025	0.699546972653021	0.681238354593665	0.473684210526316	0.473684210526316	0.700935815614563	0.681238354593665	0	0.700935815614563	0.653482164523174	0.883273381294964	0.632287292086902	0.527541858772143	0.68862805000603	0.681238354593665	0.653482164523174
ZB_53	0.192632936792318	0.192632936792318	0.236534706195633	0.398934848215871	0.633742270427565	0.192632936792318	0.606745961299485	0.590820409377997	0.953914432806675	0.13590820409378	0.586985810520281	0.606745961299485	0.590820409377997	0.724977809337831	1	1	0.192632936792318	0.678892242144505	0.0686485235276611	0.488443103142198	0.13590820409378	0.192632936792318	0.586985810520281	0.586985810520281	0	0.192632936792318	0.700935815614563	0	0.606745961299485	0.953914432806675	0.0686485235276611	0.633742270427565	0.236534706195633	0.192632936792318	0.606745961299485
ZB_54	0.682499641679805	0.682499641679805	0.787397178695053	0.872266741835461	0.157846715328467	0.682499641679805	0	0.233494809688581	1	0.607331513454107	0.475766755017039	0	0.233494809688581	0.564302059496568	1	1	0.682499641679805	0.603553581343698	0.633742270427565	0.231260410882843	0.607331513454107	0.682499641679805	0.475766755017039	0.475766755017039	0.606745961299485	0.682499641679805	0.653482164523174	0.606745961299485	0	1	0.633742270427565	0.157846715328467	0.787397178695053	0.682499641679805	0
ZB_55	0.962792030958865	0.962792030958865	1	1	1	0.962792030958865	1	0.910173010380623	0	0.953983053851881	0.938564937523665	1	0.910173010380623	1	1	1	0.962792030958865	0.856479433878815	0.957078138950432	0.909911160466408	0.953983053851881	0.962792030958865	0.938564937523665	0.938564937523665	0.953914432806675	0.962792030958865	0.883273381294964	0.953914432806675	1	0	0.957078138950432	1	1	0.962792030958865	1
ZB_56	0.133123118818977	0.133123118818977	0.288945471379915	0.440197083429781	0.565093746899904	0.133123118818977	0.633742270427565	0.522171885850336	0.957078138950432	0.0672596805661188	0.52747599254694	0.633742270427565	0.522171885850336	0.743857676664131	0.931351476472339	0.931351476472339	0.133123118818977	0.700935815614563	0	0.523560728811878	0.0672596805661188	0.133123118818977	0.52747599254694	0.52747599254694	0.0686485235276611	0.133123118818977	0.632287292086902	0.0686485235276611	0.633742270427565	0.957078138950432	0	0.565093746899904	0.288945471379915	0.133123118818977	0.633742270427565
ZB_58	0.622989823706464	0.622989823706464	0.802646581211346	0.882121223382511	0	0.622989823706464	0.157846715328467	0.0898269896193772	1	0.533732761371291	0.377508519500189	0.157846715328467	0.0898269896193772	0.623864085341762	0.842153284671533	0.842153284671533	0.622989823706464	0.653482164523174	0.565093746899904	0.32807570977918	0.533732761371291	0.622989823706464	0.377508519500189	0.377508519500189	0.633742270427565	0.622989823706464	0.527541858772143	0.633742270427565	0.157846715328467	1	0.565093746899904	0	0.802646581211346	0.622989823706464	0.157846715328467
ZB_60	0.383603267880178	0.383603267880178	0	0.212714504952797	0.802646581211346	0.383603267880178	0.787397178695053	0.81111735723025	1	0.356205151946034	0.777956141608141	0.787397178695053	0.81111735723025	0.639771194717016	1	1	0.383603267880178	0.660278057979913	0.288945471379915	0.724977809337831	0.356205151946034	0.383603267880178	0.777956141608141	0.777956141608141	0.236534706195633	0.383603267880178	0.68862805000603	0.236534706195633	0.787397178695053	1	0.288945471379915	0.802646581211346	0	0.383603267880178	0.787397178695053
ZB_61	0	0	0.383603267880178	0.514719793607568	0.622989823706464	0	0.682499641679805	0.585781854665329	0.962792030958865	0.191428980937366	0.394352873727963	0.682499641679805	0.585781854665329	0.777956141608141	0.940490182026659	0.940490182026659	0	0.740748172567006	0.133123118818977	0.586985810520281	0.191428980937366	0	0.394352873727963	0.394352873727963	0.192632936792318	0	0.681238354593665	0.192632936792318	0.682499641679805	0.962792030958865	0.133123118818977	0.622989823706464	0.383603267880178	0	0.682499641679805
ZB_62	0.682499641679805	0.682499641679805	0.787397178695053	0.872266741835461	0.157846715328467	0.682499641679805	0	0.233494809688581	1	0.607331513454107	0.475766755017039	0	0.233494809688581	0.564302059496568	1	1	0.682499641679805	0.603553581343698	0.633742270427565	0.231260410882843	0.607331513454107	0.682499641679805	0.475766755017039	0.475766755017039	0.606745961299485	0.682499641679805	0.653482164523174	0.606745961299485	0	1	0.633742270427565	0.157846715328467	0.787397178695053	0.682499641679805	0
