ZB_1	ZB_2	ZB_4	ZB_5	ZB_6	ZB_8	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_17	ZB_19	ZB_20	ZB_25	ZB_26	ZB_27	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_35	ZB_37	ZB_38	ZB_40	ZB_41	ZB_45	ZB_48	ZB_50	ZB_54	ZB_55	ZB_57	ZB_59	ZB_61	ZB_62	ZB_64
ZB_15	1	0	0.222028841372452	0	0.90953170856195	0.870727664511851	0.222028841372452	0.90953170856195	0.90953170856195	0.222028841372452	0	0.455554653334416	0.90953170856195	0	0.90953170856195	0.90953170856195	0.90953170856195	0.870727664511851	0.90953170856195	0.90953170856195	0.90953170856195	0.90953170856195	0.228993839835729	0.870727664511851	0.90953170856195	0.894991248148647	0.90953170856195	0	0.894991248148647	0	0.90953170856195	0.90953170856195	0.90953170856195	0.90953170856195	0	0.870727664511851	0
ZB_17	0.861530966162841	0.455554653334416	0.300172839792592	0.455554653334416	0.453977055227534	0.754149895020126	0.300172839792592	0.453977055227534	0.453977055227534	0.300172839792592	0.455554653334416	0	0.453977055227534	0.455554653334416	0.453977055227534	0.453977055227534	0.453977055227534	0.754149895020126	0.453977055227534	0.453977055227534	0.453977055227534	0.453977055227534	0.293850847378983	0.754149895020126	0.453977055227534	0.592446089064693	0.453977055227534	0.455554653334416	0.592446089064693	0.455554653334416	0.453977055227534	0.453977055227534	0.453977055227534	0.453977055227534	0.455554653334416	0.754149895020126	0.455554653334416
ZB_19	0.746404367869814	0.90953170856195	0.754149895020126	0.90953170856195	0	0.549744003739033	0.754149895020126	0	0	0.754149895020126	0.90953170856195	0.453977055227534	0	0.90953170856195	0	0	0	0.549744003739033	0	0	0	0	0.747827902606517	0.549744003739033	0	0.253595632130186	0	0.90953170856195	0.253595632130186	0.90953170856195	0	0	0	0	0.90953170856195	0.549744003739033	0.90953170856195
ZB_20	1	0	0.222028841372452	0	0.90953170856195	0.870727664511851	0.222028841372452	0.90953170856195	0.90953170856195	0.222028841372452	0	0.455554653334416	0.90953170856195	0	0.90953170856195	0.90953170856195	0.90953170856195	0.870727664511851	0.90953170856195	0.90953170856195	0.90953170856195	0.90953170856195	0.228993839835729	0.870727664511851	0.90953170856195	0.894991248148647	0.90953170856195	0	0.894991248148647	0	0.90953170856195	0.90953170856195	0.90953170856195	0.90953170856195	0	0.870727664511851	0
ZB_25	0.746404367869814	0.90953170856195	0.754149895020126	0.90953170856195	0	0.549744003739033	0.754149895020126	0	0	0.754149895020126	0.90953170856195	0.453977055227534	0	0.90953170856195	0	0	0	0.549744003739033	0	0	0	0	0.747827902606517	0.549744003739033	0	0.253595632130186	0	0.90953170856195	0.253595632130186	0.90953170856195	0	0	0	0	0.90953170856195	0.549744003739033	0.90953170856195
ZB_26	0.746404367869814	0.90953170856195	0.754149895020126	0.90953170856195	0	0.549744003739033	0.754149895020126	0	0	0.754149895020126	0.90953170856195	0.453977055227534	0	0.90953170856195	0	0	0	0.549744003739033	0	0	0	0	0.747827902606517	0.549744003739033	0	0.253595632130186	0	0.90953170856195	0.253595632130186	0.90953170856195	0	0	0	0	0.90953170856195	0.549744003739033	0.90953170856195
ZB_27	0.746404367869814	0.90953170856195	0.754149895020126	0.90953170856195	0	0.549744003739033	0.754149895020126	0	0	0.754149895020126	0.90953170856195	0.453977055227534	0	0.90953170856195	0	0	0	0.549744003739033	0	0	0	0	0.747827902606517	0.549744003739033	0	0.253595632130186	0	0.90953170856195	0.253595632130186	0.90953170856195	0	0	0	0	0.90953170856195	0.549744003739033	0.90953170856195
ZB_29	1	0.870727664511851	0.6486988231394	0.870727664511851	0.549744003739033	0	0.6486988231394	0.549744003739033	0.549744003739033	0.6486988231394	0.870727664511851	0.754149895020126	0.549744003739033	0.870727664511851	0.549744003739033	0.549744003739033	0.549744003739033	0	0.549744003739033	0.549744003739033	0.549744003739033	0.549744003739033	0.894991248148647	0	0.549744003739033	0.396766664769169	0.549744003739033	0.870727664511851	0.396766664769169	0.870727664511851	0.549744003739033	0.549744003739033	0.549744003739033	0.549744003739033	0.870727664511851	0	0.870727664511851
ZB_30	0.746404367869814	0.90953170856195	0.754149895020126	0.90953170856195	0	0.549744003739033	0.754149895020126	0	0	0.754149895020126	0.90953170856195	0.453977055227534	0	0.90953170856195	0	0	0	0.549744003739033	0	0	0	0	0.747827902606517	0.549744003739033	0	0.253595632130186	0	0.90953170856195	0.253595632130186	0.90953170856195	0	0	0	0	0.90953170856195	0.549744003739033	0.90953170856195
ZB_32	0.746404367869814	0.90953170856195	0.754149895020126	0.90953170856195	0	0.549744003739033	0.754149895020126	0	0	0.754149895020126	0.90953170856195	0.453977055227534	0	0.90953170856195	0	0	0	0.549744003739033	0	0	0	0	0.747827902606517	0.549744003739033	0	0.253595632130186	0	0.90953170856195	0.253595632130186	0.90953170856195	0	0	0	0	0.90953170856195	0.549744003739033	0.90953170856195
ZB_33	0.746404367869814	0.90953170856195	0.754149895020126	0.90953170856195	0	0.549744003739033	0.754149895020126	0	0	0.754149895020126	0.90953170856195	0.453977055227534	0	0.90953170856195	0	0	0	0.549744003739033	0	0	0	0	0.747827902606517	0.549744003739033	0	0.253595632130186	0	0.90953170856195	0.253595632130186	0.90953170856195	0	0	0	0	0.90953170856195	0.549744003739033	0.90953170856195
ZB_34	0.746404367869814	0.90953170856195	0.754149895020126	0.90953170856195	0	0.549744003739033	0.754149895020126	0	0	0.754149895020126	0.90953170856195	0.453977055227534	0	0.90953170856195	0	0	0	0.549744003739033	0	0	0	0	0.747827902606517	0.549744003739033	0	0.253595632130186	0	0.90953170856195	0.253595632130186	0.90953170856195	0	0	0	0	0.90953170856195	0.549744003739033	0.90953170856195
ZB_35	1	0.228993839835729	0.368049010367578	0.228993839835729	0.747827902606517	0.894991248148647	0.368049010367578	0.747827902606517	0.747827902606517	0.368049010367578	0.228993839835729	0.293850847378983	0.747827902606517	0.228993839835729	0.747827902606517	0.747827902606517	0.747827902606517	0.894991248148647	0.747827902606517	0.747827902606517	0.747827902606517	0.747827902606517	0	0.894991248148647	0.747827902606517	0.707297697589875	0.747827902606517	0.228993839835729	0.707297697589875	0.228993839835729	0.747827902606517	0.747827902606517	0.747827902606517	0.747827902606517	0.228993839835729	0.894991248148647	0.228993839835729
ZB_37	1	0.870727664511851	0.6486988231394	0.870727664511851	0.549744003739033	0	0.6486988231394	0.549744003739033	0.549744003739033	0.6486988231394	0.870727664511851	0.754149895020126	0.549744003739033	0.870727664511851	0.549744003739033	0.549744003739033	0.549744003739033	0	0.549744003739033	0.549744003739033	0.549744003739033	0.549744003739033	0.894991248148647	0	0.549744003739033	0.396766664769169	0.549744003739033	0.870727664511851	0.396766664769169	0.870727664511851	0.549744003739033	0.549744003739033	0.549744003739033	0.549744003739033	0.870727664511851	0	0.870727664511851
ZB_38	0.746404367869814	0.90953170856195	0.754149895020126	0.90953170856195	0	0.549744003739033	0.754149895020126	0	0	0.754149895020126	0.90953170856195	0.453977055227534	0	0.90953170856195	0	0	0	0.549744003739033	0	0	0	0	0.747827902606517	0.549744003739033	0	0.253595632130186	0	0.90953170856195	0.253595632130186	0.90953170856195	0	0	0	0	0.90953170856195	0.549744003739033	0.90953170856195
ZB_40	1	0.894991248148647	0.714635788339841	0.894991248148647	0.253595632130186	0.396766664769169	0.714635788339841	0.253595632130186	0.253595632130186	0.714635788339841	0.894991248148647	0.592446089064693	0.253595632130186	0.894991248148647	0.253595632130186	0.253595632130186	0.253595632130186	0.396766664769169	0.253595632130186	0.253595632130186	0.253595632130186	0.253595632130186	0.707297697589875	0.396766664769169	0.253595632130186	0	0.253595632130186	0.894991248148647	0	0.894991248148647	0.253595632130186	0.253595632130186	0.253595632130186	0.253595632130186	0.894991248148647	0.396766664769169	0.894991248148647
ZB_41	0.746404367869814	0.90953170856195	0.754149895020126	0.90953170856195	0	0.549744003739033	0.754149895020126	0	0	0.754149895020126	0.90953170856195	0.453977055227534	0	0.90953170856195	0	0	0	0.549744003739033	0	0	0	0	0.747827902606517	0.549744003739033	0	0.253595632130186	0	0.90953170856195	0.253595632130186	0.90953170856195	0	0	0	0	0.90953170856195	0.549744003739033	0.90953170856195
ZB_45	1	0	0.222028841372452	0	0.90953170856195	0.870727664511851	0.222028841372452	0.90953170856195	0.90953170856195	0.222028841372452	0	0.455554653334416	0.90953170856195	0	0.90953170856195	0.90953170856195	0.90953170856195	0.870727664511851	0.90953170856195	0.90953170856195	0.90953170856195	0.90953170856195	0.228993839835729	0.870727664511851	0.90953170856195	0.894991248148647	0.90953170856195	0	0.894991248148647	0	0.90953170856195	0.90953170856195	0.90953170856195	0.90953170856195	0	0.870727664511851	0
ZB_48	1	0.894991248148647	0.714635788339841	0.894991248148647	0.253595632130186	0.396766664769169	0.714635788339841	0.253595632130186	0.253595632130186	0.714635788339841	0.894991248148647	0.592446089064693	0.253595632130186	0.894991248148647	0.253595632130186	0.253595632130186	0.253595632130186	0.396766664769169	0.253595632130186	0.253595632130186	0.253595632130186	0.253595632130186	0.707297697589875	0.396766664769169	0.253595632130186	0	0.253595632130186	0.894991248148647	0	0.894991248148647	0.253595632130186	0.253595632130186	0.253595632130186	0.253595632130186	0.894991248148647	0.396766664769169	0.894991248148647
ZB_50	1	0	0.222028841372452	0	0.90953170856195	0.870727664511851	0.222028841372452	0.90953170856195	0.90953170856195	0.222028841372452	0	0.455554653334416	0.90953170856195	0	0.90953170856195	0.90953170856195	0.90953170856195	0.870727664511851	0.90953170856195	0.90953170856195	0.90953170856195	0.90953170856195	0.228993839835729	0.870727664511851	0.90953170856195	0.894991248148647	0.90953170856195	0	0.894991248148647	0	0.90953170856195	0.90953170856195	0.90953170856195	0.90953170856195	0	0.870727664511851	0
ZB_54	0.746404367869814	0.90953170856195	0.754149895020126	0.90953170856195	0	0.549744003739033	0.754149895020126	0	0	0.754149895020126	0.90953170856195	0.453977055227534	0	0.90953170856195	0	0	0	0.549744003739033	0	0	0	0	0.747827902606517	0.549744003739033	0	0.253595632130186	0	0.90953170856195	0.253595632130186	0.90953170856195	0	0	0	0	0.90953170856195	0.549744003739033	0.90953170856195
ZB_55	0.746404367869814	0.90953170856195	0.754149895020126	0.90953170856195	0	0.549744003739033	0.754149895020126	0	0	0.754149895020126	0.90953170856195	0.453977055227534	0	0.90953170856195	0	0	0	0.549744003739033	0	0	0	0	0.747827902606517	0.549744003739033	0	0.253595632130186	0	0.90953170856195	0.253595632130186	0.90953170856195	0	0	0	0	0.90953170856195	0.549744003739033	0.90953170856195
ZB_57	0.746404367869814	0.90953170856195	0.754149895020126	0.90953170856195	0	0.549744003739033	0.754149895020126	0	0	0.754149895020126	0.90953170856195	0.453977055227534	0	0.90953170856195	0	0	0	0.549744003739033	0	0	0	0	0.747827902606517	0.549744003739033	0	0.253595632130186	0	0.90953170856195	0.253595632130186	0.90953170856195	0	0	0	0	0.90953170856195	0.549744003739033	0.90953170856195
ZB_59	0.746404367869814	0.90953170856195	0.754149895020126	0.90953170856195	0	0.549744003739033	0.754149895020126	0	0	0.754149895020126	0.90953170856195	0.453977055227534	0	0.90953170856195	0	0	0	0.549744003739033	0	0	0	0	0.747827902606517	0.549744003739033	0	0.253595632130186	0	0.90953170856195	0.253595632130186	0.90953170856195	0	0	0	0	0.90953170856195	0.549744003739033	0.90953170856195
ZB_61	1	0	0.222028841372452	0	0.90953170856195	0.870727664511851	0.222028841372452	0.90953170856195	0.90953170856195	0.222028841372452	0	0.455554653334416	0.90953170856195	0	0.90953170856195	0.90953170856195	0.90953170856195	0.870727664511851	0.90953170856195	0.90953170856195	0.90953170856195	0.90953170856195	0.228993839835729	0.870727664511851	0.90953170856195	0.894991248148647	0.90953170856195	0	0.894991248148647	0	0.90953170856195	0.90953170856195	0.90953170856195	0.90953170856195	0	0.870727664511851	0
ZB_62	1	0.870727664511851	0.6486988231394	0.870727664511851	0.549744003739033	0	0.6486988231394	0.549744003739033	0.549744003739033	0.6486988231394	0.870727664511851	0.754149895020126	0.549744003739033	0.870727664511851	0.549744003739033	0.549744003739033	0.549744003739033	0	0.549744003739033	0.549744003739033	0.549744003739033	0.549744003739033	0.894991248148647	0	0.549744003739033	0.396766664769169	0.549744003739033	0.870727664511851	0.396766664769169	0.870727664511851	0.549744003739033	0.549744003739033	0.549744003739033	0.549744003739033	0.870727664511851	0	0.870727664511851
ZB_64	1	0	0.222028841372452	0	0.90953170856195	0.870727664511851	0.222028841372452	0.90953170856195	0.90953170856195	0.222028841372452	0	0.455554653334416	0.90953170856195	0	0.90953170856195	0.90953170856195	0.90953170856195	0.870727664511851	0.90953170856195	0.90953170856195	0.90953170856195	0.90953170856195	0.228993839835729	0.870727664511851	0.90953170856195	0.894991248148647	0.90953170856195	0	0.894991248148647	0	0.90953170856195	0.90953170856195	0.90953170856195	0.90953170856195	0	0.870727664511851	0
